nom_complet_taxon_referentiel;nom_valide
Fritillaria tubiformis subsp. moggridgei (Baker) Rix, 1978;Fritillaria moggridgei Baker, 1879
Fumana ericoides (Cav.) Gand. subsp. ericoides;Fumana ericoides (Cav.) Gand., 1883
Fumana ericoides subsp. montana (Pomel) Güemes & Muñoz Garm., 1990;Fumana ericifolia Wallr., 1840
Fumana Spach, 1836;Fumana (Dunal) Spach, 1836
Fumana thymifolia (L.) Spach ex Webb subsp. thymifolia;Fumana thymifolia (L.) Spach ex Webb, 1838
Fumaria kralikii Jord.;Fumaria kralikii Jord., 1848
Fumaria muralis Sond. ex W.D.J.Koch, 1847;Fumaria muralis Sond. ex W.D.J.Koch, 1845
Fumaria officinalis L. subsp. officinalis;Fumaria officinalis f. officinalis 
Fumaria officinalis var. officinalis ;Fumaria officinalis L., 1753
Fumaria officinalis var. pycnantha Loret & Barrandon, 1876;Fumaria officinalis L., 1753
Fumaria vaillantii Loisel. subsp. vaillantii;Fumaria vaillantii Loisel., 1809
Fumaria vaillantii subsp. schleicheri (Soy.-Will.) Rouy & Foucaud, 1893;Fumaria schleicheri Soy.-Will., 1828
Gagea bohemica (Zauschn.) Schult. & Schult.f. subsp. bohemica var. corsica (Jord. & Fourr.) Rouy;Gagea bohemica var. corsica (Jord. & Fourr.) Rouy
Gagea liotardii (Sternb.) Schult. & Schult.f., 1829;Gagea fragifera (Vill.) E.Bayer & G.López, 1989
Gagea pratensis (Pers.) Dumort., 1829;Gagea pratensis (Pers.) Dumort., 1827
Gagea x luberonensis J.M.Tison, 1998;Gagea luberonensis J.M.Tison, 1998
Galactites elegans (All.) Soldano, 1991;Galactites tomentosus Moench, 1794
Galanthus nivalis L. subsp. nivalis;Galanthus nivalis L., 1753
Galatella linosyris subsp. linosyris ;Galatella linosyris var. linosyris 
Galeopsis;Galeopsis L., 1753
Galeopsis ladanum L. subsp. ladanum;Galeopsis ladanum L., 1753
Galeopsis ladanum subsp. angustifolia (Ehrh. ex Hoffm.) Schübler & G.Martens, 1834;Galeopsis angustifolia Ehrh. ex Hoffm., 1804
Galeopsis ladanum subsp. cebennensis (Braun-Blanq.) Kerguélen, 1987;Galeopsis cebennensis (Braun-Blanq.) B.Bock, 2012
Galeopsis ladanum subsp. villosa (Huds.) Celak., 1871;Galeopsis segetum Neck., 1770
Galeopsis tetrahit L. subsp. tetrahit;Galeopsis tetrahit L., 1753
Galeopsis tetrahit subsp. bifida (Boenn.) Fr., 1839;Galeopsis bifida Boenn., 1824
Galinsoga Ruiz & Pavon, 1794;Galinsoga Ruiz & Pav., 1794
Galium bernardii Gren. & Godr., 1850;Galium lucidum All., 1773
Galium mollugo L. subsp. mollugo;Galium mollugo L., 1753
Galium mollugo subsp. erectum Syme, 1865;Galium album Mill., 1768
Galium mollugo subsp. neglectum (Le Gall ex Gren.) Nyman, 1879;Galium neglectum Le Gall ex Gren., 1850
Galium mollugo var. erectum ;Galium album f. album 
Galium palustre L. subsp. palustre;Galium palustre L., 1753
Galium palustre subsp. debile (Desv.) Berher, 1887;Galium debile Desv., 1818
Galium palustre subsp. elongatum (C.Presl) Lange, 1869;Galium elongatum C.Presl, 1822
Galium parisiense L. subsp. parisiense;Galium parisiense L., 1753
Galium parisiense subsp. divaricatum (Pourr. ex Lam.) Rouy, 1903;Galium divaricatum Pourr. ex Lam., 1788
Galium pumilum subsp. pinetorum (Ehrend.) Vigo;Galium estebanii var. leioclados (Pau) Ortega Oliv. & Devesa, 2003
Galium verrucosum Huds. subsp. verrucosum;Galium verrucosum var. verrucosum 
Galium verrucosum subsp. halophilum (Ponzo) Lambinon, 1997;Galium verrucosum var. halophilum (Ponzo) Natali & Jeanm., 1988
Galium verum var. verum ;Galium verum f. verum 
Garidella nigellastrum L., 1753;Nigella nigellastrum (L.) Willk., 1880
Gaura;Oenothera L., 1753
Gaura lindheimeri Engelm. & A.Gray;Oenothera lindheimeri (Engelm. & A.Gray) W.L.Wagner & Hoch, 2007
Gaura sinuata Nutt. ex Ser., 1828;Oenothera sinuosa W.L.Wagner & Hoch, 2007
Genista cinerea subsp. ausetana O.Bolòs & Vigo, 1974;Genista ausetana (O.Bolòs & Vigo) Talavera, 1999
Genista pulchella subsp. villarsii (Clementi) Kerguélen, 1993;Genista pulchella subsp. villarsiana (Jord.) F.Conti, 2007
Genista sagittalis L. subsp. sagittalis;Genista sagittalis L., 1753
Gentiana bavarica L. subsp. bavarica;Gentiana bavarica var. bavarica 
Gentiana bavarica subsp. subacaulis (Schleich. ex Gaudin) G.Müll., 1982;Gentiana bavarica var. subacaulis Schleich. ex Gaudin, 1828
Gentiana cruciata L. subsp. cruciata;Gentiana cruciata L., 1753
Gentiana delphinensis Beauverd, 1934;Gentiana verna subsp. delphinensis (Beauverd) H.Kunze, 1971
Gentianella campestris (L.) Borner subsp. campestris;Gentianella campestris f. campestris 
Gentianella ciliata (L.) Borkh., 1796;Gentianopsis ciliata (L.) Ma, 1951
Gentianella tenella (Rottb.) Börner, 1912;Comastoma tenellum (Rottb.) Toyok., 1961
Geranium molle L. subsp. molle;Geranium molle var. molle 
Geranium robertianum subsp. purpureum (Vill.) Nyman, 1878;Geranium purpureum Vill., 1786
Geranium sibiricum L.;Geranium sibiricum L., 1753
Geranium sylvaticum L. subsp. sylvaticum;Geranium sylvaticum L., 1753
Glechoma hederacea L. subsp. hederacea;Glechoma hederacea L., 1753
Glyceria R. Br., 1810;Glyceria R.Br., 1810
Gnaphalium falcatum Lam., 1788;Gamochaeta antillana (Urb.) Anderb., 1991
Gnaphalium uliginosum L. subsp. uliginosum;Gnaphalium uliginosum L., 1753
Gomphocarpus fruticosus (L.) R.Br., 1810;Gomphocarpus fruticosus (L.) R.Br., 1809
Goodyera R. Br., 1813;Goodyera R.Br., 1813
Gymnadenia conopsea (L.) R.Br. subsp. conopsea;Gymnadenia conopsea (L.) R.Br., 1813
Gymnadenia densiflora (Wahlenb.) D.Dietr., 1839;Gymnadenia densiflora (Wahlenb.) A.Dietr., 1839
Gymnadenia pyrenaica (Philippe) Giraudias, 1890;Gymnadenia pyrenaica (Philippe) Giraudias, 1892
Gymnadenia R. Br., 1813;Gymnadenia R.Br., 1813
Hammarbya O. Kuntze, 1891;Hammarbya Kuntze, 1891
Hedera helix L. subsp. helix;Hedera helix f. helix 
Hedypnois cretica (L.) Dum.Cours., 1802;Hedypnois rhagadioloides (L.) F.W.Schmidt, 1795
Hedysarum hedysaroides subsp. boutignyanum (A.Camus) Jauzein, 2010;Hedysarum boutignyanum (A.Camus) Alleiz., 1928
Hedysarum spinosissimum L. subsp. spinosissimum;Hedysarum spinosissimum L., 1753
Hedysarum spinosissimum subsp. capitatum (Rouy) Asch. & Graebn., 1909;Hedysarum glomeratum F.Dietr., 1804
Helianthemum grandiflorum (Scop.) DC. subsp. grandiflorum;Helianthemum grandiflorum subsp. grandiflorum 
Helianthemum nummularium (L.) Mill. subsp. nummularium;Helianthemum nummularium (L.) Mill., 1768
Helianthemum oelandicum subsp. alpestre (Jacq.) Ces., 1844;Helianthemum italicum var. alpestre (Jacq.) Gren., 1848
Helianthemum oelandicum subsp. incanum (Willk.) G.López, 1992;Helianthemum canum (L.) Baumg., 1816
Helianthemum oelandicum subsp. italicum (L.) Ces., 1844;Helianthemum italicum (L.) Pers., 1806
Helianthemum oelandicum subsp. pourretii (Timb.-Lagr.) Greuter & Burdet, 1981;Helianthemum canum var. dolomiticum H.J.Coste, 1893
Helianthemum pilosum (L.) Desf., 1804;Helianthemum violaceum (Cav.) Pers., 1806
Helleborus lividus subsp. corsicus (Briq.) P.Fourn., 1936;Helleborus argutifolius Viv., 1824
Helleborus x jordanii Pagès, 1914;Helleborus x jourdanii Pagès, 1914
Helosciadium nodiflorum (L.) W.D.J.Koch subsp. nodiflorum;Helosciadium nodiflorum (L.) W.D.J.Koch, 1824
Herminium Hill, 1753;Herminium L., 1758
Herniaria cinerea DC. subsp. cinerea;Herniaria cinerea DC., 1815
Herniaria glabra L. subsp. glabra;Herniaria glabra L., 1753
Hesperis inodora L., 1753;Hesperis matronalis subsp. inodora (L.) P.Fourn., 1936
Hesperis laciniata All. subsp. laciniata;Hesperis laciniata f. laciniata 
Hesperis laciniata subsp. spectabilis (Jord.) Rouy & Foucaud, 1895;Hesperis laciniata f. spectabilis (Jord.) B.Bock, 2012
Hieracium adriaticum subsp. aitonense Zahn, 1923;Pilosella visianii F.W.Schultz & Sch.Bip., 1862
Hieracium adriaticum subsp. caricinoides Zahn, 1923;Pilosella visianii F.W.Schultz & Sch.Bip., 1862
Hieracium adusticeps Zahn, 1916;Hieracium melanops Arv.-Touv., 1888
Hieracium aestivale Jord. ex Boreau, 1857;Hieracium dryophilum Boreau, 1857
Hieracium amphibolum Jord. ex Boreau, 1857;Hieracium boreanum Jord., 1857
Hieracium analogum Jord. ex Boreau, 1857;Hieracium firmum Jord., 1848
Hieracium aphyllum Nägeli & Peter, 1886;Hieracium armerioides Arv.-Touv., 1871
Hieracium argothrix Nägeli & Peter, 1889;Hieracium monregalense Burnat & Gremli, 1883
Hieracium aridum Freyn, 1876;Pilosella arida (Freyn) Soják, 1971
Hieracium asperatum Jord. ex Boreau, 1857;Hieracium tinctum Jord. ex Boreau, 1857
Hieracium aspreticola Jord. ex Boreau, 1857;Hieracium oblongum Jord., 1849
Hieracium asteriforme Arv.-Touv., 1888;Hieracium lanceolatum Vill., 1788
Hieracium aurantiacum L., 1753;Pilosella aurantiaca (L.) F.W.Schultz & Sch.Bip., 1862
Hieracium aurantiacum L. subsp. aurantiacum;Pilosella aurantiaca subsp. aurantiaca 
Hieracium aurelianense Boreau, 1857;Hieracium divisum Jord., 1848
Hieracium aurigeranum Loret & Timb.-Lagr., 1858;Hieracium glareosum J.Serres, 1855
Hieracium axaticum Arv.-Touv. & Gaut., 1898;Hieracium rhomboidale Lapeyr., 1782
Hieracium barbulare Zahn, 1921;Hieracium medium Jord., 1849
Hieracium bauhinii Schult., 1809;Pilosella piloselloides subsp. bauhinii (Schult.) S.Bräut. & Greuter, 2007
Hieracium bernardii Rouy, 1905;Hieracium scariolifolium Arv.-Touv., 1888
Hieracium beyeri Zahn, 1921;Hieracium bicknellianum Belli & Arv.-Touv. ex Murr, Zahn & Poell, 1909
Hieracium bifidum var. subcaesium (Fr.) P.Fourn., 1940;Hieracium subcaesium (Fr.) Lindeb., 1869
Hieracium billyanum de Retz, 1974;Pilosella billyana (de Retz) Mateo, 1990
Hieracium bocconi Griseb., 1852;Hieracium bocconei Griseb., 1852
Hieracium boraeanum Jord. ex Boreau, 1857;Hieracium boreanum Jord., 1857
Hieracium brachiatum Bertol. ex DC., 1815;Pilosella brachiata (DC.) F.W.Schultz & Sch.Bip., 1862
Hieracium breviscapum DC., 1815;Pilosella breviscapa (DC.) Soják, 1971
Hieracium brumale Arv.-Touv., 1888;Hieracium intricatum Arv.-Touv., 1876
Hieracium bupleuroides subsp. schenckii (Griseb.) Zahn, 1921;Hieracium schenkii (Griseb.) Schljakov, 1989
Hieracium caespitosum Dumort., 1829;Pilosella caespitosa (Dumort.) P.D.Sell & C.West, 1967
Hieracium celsicaule Jord. ex Boreau, 1857;Hieracium approximatum Jord., 1848
Hieracium chabertianum Arv.-Touv., 1913;Hieracium cinerascens Jord., 1849
Hieracium cheriense Jord. ex Boreau, 1857;Hieracium chlorophyllum Jord. ex Boreau, 1857
Hieracium chlorifolium Arv.-Touv., 1871;Hieracium scorzonerifolium Vill., 1779
Hieracium cirritum Arv.-Touv. subsp. cirritum;Hieracium cirritum Arv.-Touv., 1873
Hieracium cirritum subsp. pseudocirritum Touton & Zahn, 1903;Hieracium pseudocirritum (Favre) Touton & Zahn, 1905
Hieracium comatulum Jord. ex Boreau, 1857;Hieracium glaucinum Jord., 1848
Hieracium conspicuum Jord. ex Boreau, 1857;Hieracium laevigatum Willd., 1803
Hieracium cottianum Arv.-Touv., 1886;Hieracium parcepilosum Arv.-Touv., 1888
Hieracium cydoniifolium Vill., 1779;Hieracium valdepilosum Vill., 1779
Hieracium cymosum L., 1763;Pilosella cymosa (L.) F.W.Schultz & Sch.Bip., 1862
Hieracium cymosum subsp. lanipedicellum Nägeli & Peter, 1885;Pilosella cymosa (L.) F.W.Schultz & Sch.Bip., 1862
Hieracium deductum Sudre, 1907;Hieracium paucifoliatum Jord. ex Boreau, 1857
Hieracium deltophyllum Arv.-Touv., 1888;Hieracium flagelliferum Ravaud, 1877
Hieracium diaphanoides subsp. faucium Sudre, 1902;Hieracium faucium (Sudre) A.W.Hill
Hieracium digeneum Burnat & Gremli, 1883;Hieracium pedemontanum Burnat & Gremli, 1883
Hieracium dispalatum Jord. ex Sudre, 1902;Hieracium curvidens Jord., 1849
Hieracium dryadeum Jord. ex Boreau, 1857;Hieracium dryophilum Boreau, 1857
Hieracium epimedium Fr. subsp. epimedium;Hieracium epimedium Fr., 1862
Hieracium epimedium subsp. beauverdianum Besse & Zahn, 1906;Hieracium beauverdianum (Besse & Zahn) Zahn
Hieracium epimedium subsp. seneppense (Arv.-Touv.) Zahn, 1921;Hieracium seneppense (Arv.-Touv.) Belli, 1904
Hieracium eriocerinthe Fr., 1861;Hieracium eriomallum Greuter
Hieracium exotericum Jord. ex Boreau, 1857;Hieracium murorum L., 1753
Hieracium faurei (Arv.-Touv.) Arv.-Touv., 1888;Pilosella x faurei Arv.-Touv., 1880
Hieracium fictum Jord. ex Boreau, 1857;Hieracium commixtum Jord., 1848
Hieracium flagellosum Martrin-Donos, 1864;Hieracium vasconicum Martrin-Donos, 1864
Hieracium florentinum All., 1785;Pilosella florentina F.W.Schultz & Sch.Bip., 1862
Hieracium fulcratum Arv.-Touv., 1894;Hieracium bupleuroides C.C.Gmel., 1808
Hieracium fuscum Vill., 1812;Pilosella x fusca (Vill.) Arv.-Touv., 1880
Hieracium gallicum Jord., 1849;Hieracium dumosum Jord., 1849
Hieracium gentile Jord. ex Boreau, 1857;Hieracium cinerascens Jord., 1849
Hieracium glaciale Reyn., 1787;Pilosella glacialis (Reyn. ex Lachen.) F.W.Schultz & Sch.Bip., 1862
Hieracium glaucinum Jord. subsp. glaucinum;Hieracium glaucinum Jord., 1848
Hieracium glaucinum subsp. fraternum (Sudre) O.Bolòs & Vigo, 1995;Hieracium adelphicum P.D.Sell, 2006
Hieracium grandidens Dahlst., 1893;Hieracium murorum L., 1753
Hieracium guthnickianum Hegetschw., 1839;Pilosella guthnickiana (Hegetschw. & Heer) Soják
Hieracium halimifolium Froël. ex Fr., 1862;Hieracium brevifolium Tausch, 1828
Hieracium hervieri Arv.-Touv., 1891;Hieracium taurinense Jord., 1849
Hieracium hispidulum Arv.-Touv., 1888;Hieracium godetii Christener ex Godet, 1869
Hieracium humile var. pseudocottetii (Zahn) Zahn, 1921;Hieracium humile Jacq., 1777
Hieracium intertextum Arv.-Touv., 1871;Hieracium viride Arv.-Touv., 1871
Hieracium isatifolium Arv.-Touv., 1873;Hieracium parcepilosum Arv.-Touv., 1888
Hieracium isolanum Zahn, 1916;Hieracium isolanum (Besse & Zahn) Zahn, 1916
Hieracium jaccardii Zahn, 1898;Hieracium acuminatum Jord., 1849
Hieracium juraniforme Zahn, 1905;Hieracium froelichianum H.Buek, 1840
Hieracium juranum Fr. subsp. translucens (Arv.-Touv.) Zahn;Hieracium translucens Arv.-Touv., 1888
Hieracium kerneri Ausserd. ex Zahn, 1901;Hieracium balbisianum Arv.-Touv. & Briq., 1899
Hieracium laceratum Jord. ex Boreau, 1857;Hieracium tinctum Jord. ex Boreau, 1857
Hieracium lachenalii sensu auct. plur.;Hieracium lachenalii Suter
Hieracium lactucella subsp. magnauricula (Nägeli & Peter) P.D.Sell, 1976;Pilosella lactucella (Wallr.) P.D.Sell & C.West, 1967
Hieracium lactucella subsp. nanum (Scheele) P.D.Sell, 1976;Pilosella lactucella subsp. nana (Scheele) M.Laínz, 1976
Hieracium lactucella subsp. tricheilema (Nägeli & Peter) O.Bolòs & Vigo, 1995;Pilosella lactucella (Wallr.) P.D.Sell & C.West, 1967
Hieracium lactucella Wallr., 1822;Pilosella lactucella (Wallr.) P.D.Sell & C.West, 1967
Hieracium lactucella Wallr. subsp. lactucella;Pilosella lactucella subsp. lactucella 
Hieracium laevicaule Jord., 1848;Hieracium levicaule Jord., 1848
Hieracium laevigatum subsp. deseglisei (Jord. ex Boreau) Zahn, 1923;Hieracium boreanum Jord., 1857
Hieracium laevigatum subsp. lancidens Zahn, 1905;Hieracium lancidens (Zahn) Prain, 1913
Hieracium laggeri (Sch.Bip. ex Rchb.f.) Fr., 1862;Pilosella laggeri (Sch.Bip. ex Rchb.) F.W.Schultz & Sch.Bip., 1862
Hieracium lamyi F.W.Schultz, 1855;Hieracium hirsutum Bernh. ex Froël., 1838
Hieracium lanatum subsp. liottardii (Vill.) Bonnier & Layens, 1894;Hieracium liotardii Vill., 1779
Hieracium lanatum Vill., 1779;Hieracium tomentosum L., 1755
Hieracium lannesianum Arv.-Touv., 1913;Hieracium pulchellum Gren. ex Griseb., 1852
Hieracium lansicum Arv.-Touv., 1873;Hieracium lanseanum Arv.-Touv., 1872
Hieracium latifolium Froël. ex Link, 1822;Hieracium brevifolium Tausch, 1828
Hieracium latobrigorum (Zahn) Roffey, 1925;Hieracium tridentatifolium (Zahn) P.D.Sell & C.West, 1976
Hieracium laurinum Arv.-Touv., 1879;Hieracium laureolum Arv.-Touv., 1876
Hieracium laurinum subsp. lactescens (Rouy) Zahn, 1923;Hieracium obliquum Jord., 1848
Hieracium laurinum subsp. vasconicum Zahn, 1916;Hieracium vasconicum Martrin-Donos, 1864
Hieracium leiopogon subsp. gariodianum Arv.-Touv. ex Zahn, 1921;Hieracium gariodianum Arv.-Touv.
Hieracium lepidum Arv.-Touv., 1888;Hieracium medium Jord., 1849
Hieracium leucochlorum Arv.-Touv., 1873;Hieracium piliferum Hoppe, 1799
Hieracium litardiereanum Zahn, 1923;Pilosella visianii F.W.Schultz & Sch.Bip., 1862
Hieracium lividum Arv.-Touv., 1880;Hieracium juranum Fr., 1848
Hieracium lycopsifolium Froël., 1838;Hieracium lycopifolium Froël., 1838
Hieracium maculatum subsp. watsonii (Jord. ex Sudre) Zahn, 1921;Hieracium paucifoliatum Jord. ex Boreau, 1857
Hieracium mespilifolium Arv.-Touv., 1876;Hieracium cantalicum Arv.-Touv., 1879
Hieracium monnieri Arv.-Touv., 1902;Hieracium pamphilii Arv.-Touv., 1888
Hieracium murorum L. subsp. cirritoides Zahn;Hieracium cirritoides (Zahn) Prain
Hieracium murorum L. subsp. subnemorense (Zahn) Zahn;Hieracium fallens Jord. ex Boreau, 1857
Hieracium murorum subsp. cardiophyllum Jord. ex Sudre, 1902;Hieracium murorum L., 1753
Hieracium murorum subsp. micropsilon (Jord.) Zahn, 1916;Hieracium oblongum Jord., 1849
Hieracium murorum subsp. silvaticum (Lam.) Bonnier & Layens, 1894;Hieracium murorum L., 1753
Hieracium murorum subsp. sparsum (Jord.) Zahn, 1916;Hieracium oblongum Jord., 1849
Hieracium murorum subsp. viridicollum (Jord. ex Boreau) Zahn, 1921;Hieracium murorum L., 1753
Hieracium myagrifolium Arv.-Touv. & Gaut., 1897;Hieracium legrandianum Arv.-Touv., 1884
Hieracium nemorense Jord., 1848;Hieracium murorum L., 1753
Hieracium neyraeanum Arv.-Touv., 1883;Hieracium neyranum Arv.-Touv., 1883
Hieracium niphobium Nägeli & Peter, 1885;Pilosella corymbuloides (Arv.-Touv.) S.Bräut. & Greuter, 2008
Hieracium niveum (Müll.Arg.) Zahn, 1923;Pilosella officinarum F.W.Schultz & Sch.Bip., 1862
Hieracium niveum subsp. saussureoides (Arv.-Touv.) Zahn, 1923;Pilosella saussureoides Arv.-Touv., 1873
Hieracium obscurum Rchb., 1823;Pilosella piloselloides subsp. praealta (Gochnat) S.Bräut. & Greuter, 2007
Hieracium ochroleucum Schleich. ex W.D.J.Koch, 1846;Hieracium picroides Vill., 1812
Hieracium oegocladum Jord. ex Boreau, 1857;Hieracium pallidulum Jord. ex Boreau, 1857
Hieracium onosmoides Fr. subsp. buglossoides (Arv.-Touv.) Zahn;Hieracium buglossoides Arv.-Touv., 1880
Hieracium onosmoides subsp. geisenheyneri Zahn, 1921;Hieracium sempronianum Favrat, 1880
Hieracium onosmoides subsp. macrobrachion Zahn, 1921;Hieracium subrude (Arv.-Touv.) Arv.-Touv., 1879
Hieracium oreites Arv.-Touv., 1897;Hieracium caesioides Arv.-Touv., 1876
Hieracium pallidiflorum Jord. ex Asch., 1854;Hieracium huteri Hausm., 1857
Hieracium pallidum subsp. ceratophylloides Zahn, 1921;Hieracium ceratodon Arv.-Touv., 1888
Hieracium pallidum subsp. costeanum Arv.-Touv. & Gaut., 1897;Hieracium cebennense Arv.-Touv. ex B.-A.Martin, 1893
Hieracium pedadifolium Omang, 1910;Hieracium pedatifolium Omang, 1910
Hieracium peleterianum Mérat, 1812;Pilosella peleteriana (Mérat) F.W.Schultz & Sch.Bip., 1862
Hieracium peleterianum Mérat subsp. peleterianum;Pilosella peleteriana subsp. peleteriana 
Hieracium peleterianum subsp. ligericum Zahn, 1923;Pilosella peleteriana subsp. ligerica (Zahn) B.Bock, 2012
Hieracium periphanoides subsp. subniveum Arv.-Touv. & Hervier ex Zahn, 1923;Pilosella periphanoides (Zahn) Soják, 1971
Hieracium periphanoides Zahn, 1905;Pilosella periphanoides (Zahn) Soják, 1971
Hieracium perpropinquum (Zahn) Druce, 1928;Hieracium taurinense Jord., 1849
Hieracium pervagum Jord. ex Boreau, 1857;Hieracium umbellatum L., 1753
Hieracium pictaviense Sauzé & Maillard, 1880;Hieracium firmum Jord., 1848
Hieracium picturatum Jord. ex Boreau, 1857;Hieracium tinctum Jord. ex Boreau, 1857
Hieracium pilatense Jord. ex Boreau, 1857;Hieracium commixtum Jord., 1848
Hieracium pilosella L., 1753;Pilosella officinarum F.W.Schultz & Sch.Bip., 1862
Hieracium pilosella L. subsp. legendrei Zahn;Pilosella officinarum F.W.Schultz & Sch.Bip., 1862
Hieracium pilosella L. subsp. micradenophorum Zahn;Pilosella officinarum F.W.Schultz & Sch.Bip., 1862
Hieracium pilosella L. subsp. pilosella;Pilosella officinarum F.W.Schultz & Sch.Bip., 1862
Hieracium pilosella subsp. angustius Nägeli & Peter;Pilosella officinarum F.W.Schultz & Sch.Bip., 1862
Hieracium pilosella subsp. euronotum Nägeli & Peter, 1885;Pilosella officinarum F.W.Schultz & Sch.Bip., 1862
Hieracium pilosella subsp. impexum Zahn, 1923;Pilosella officinarum F.W.Schultz & Sch.Bip., 1862
Hieracium pilosella subsp. inalpestre Nägeli & Peter, 1885;Pilosella officinarum F.W.Schultz & Sch.Bip., 1862
Hieracium pilosella subsp. indivisum Nägeli & Peter, 1885;Pilosella officinarum F.W.Schultz & Sch.Bip., 1862
Hieracium pilosella subsp. melanops Peter, 1884;Pilosella officinarum F.W.Schultz & Sch.Bip., 1862
Hieracium pilosella subsp. micradenium Nägeli & Peter, 1885;Pilosella officinarum F.W.Schultz & Sch.Bip., 1862
Hieracium pilosella subsp. minuticeps Nägeli & Peter, 1885;Pilosella officinarum F.W.Schultz & Sch.Bip., 1862
Hieracium pilosella subsp. subvirescens Nägeli & Peter;Pilosella officinarum F.W.Schultz & Sch.Bip., 1862
Hieracium pilosella subsp. tricholepium Nägeli & Peter, 1885;Pilosella officinarum F.W.Schultz & Sch.Bip., 1862
Hieracium pilosella subsp. trichoscapum Nägeli & Peter, 1885;Pilosella officinarum F.W.Schultz & Sch.Bip., 1862
Hieracium pilosella subsp. trichosoma Nägeli & Peter, 1885;Pilosella officinarum F.W.Schultz & Sch.Bip., 1862
Hieracium piloselloides Vill., 1779;Pilosella piloselloides (Vill.) Soják, 1971
Hieracium pinetorum Jord. ex Boreau, 1857;Hieracium petiolare Jord., 1849
Hieracium planchonianum subsp. aveyronense (Arv.-Touv. & Gaut.) Breistr., 1981;Hieracium planchonianum Timb.-Lagr. & Loret, 1858
Hieracium planchonianum subsp. setibifidum (Arv.-Touv. & Gaut. ex Zahn) Breistr., 1981;Hieracium setibifidum Arv.-Touv. & Gaut., 1908
Hieracium plantagineum (Arv.-Touv.) Arv.-Touv., 1888;Hieracium chondrillifolium Fr., 1862
Hieracium platyphyllum (Arv.-Touv.) Arv.-Touv., 1897;Hieracium taurinense Jord., 1849
Hieracium platyphyllum (Arv.-Touv.) Arv.-Touv. subsp. platyphyllum;Hieracium taurinense Jord., 1849
Hieracium praealtum Vill. ex Gochnat, 1808;Pilosella piloselloides subsp. praealta (Gochnat) S.Bräut. & Greuter, 2007
Hieracium praecox Sch.Bip., 1851;Hieracium fragile Jord., 1849
Hieracium praecox subsp. alaricum (Arv.-Touv. & Gaut.) Zahn, 1921;Hieracium jaubertianum Timb.-Lagr. & Loret, 1858
Hieracium praecox subsp. bounophilum (Jord. ex Boreau) Zahn, 1921;Hieracium glaucinum Jord., 1848
Hieracium praecox subsp. conjugatum (Jord. ex Boreau) Zahn, 1921;Hieracium conjugatum Jord. ex Boreau, 1857
Hieracium praecox subsp. furcillatum (Jord. ex Boreau) Zahn, 1921;Hieracium cinerascens Jord., 1849
Hieracium praecox subsp. gladiatum (Martrin-Donos) Zahn, 1916;Hieracium conjugatum Jord. ex Boreau, 1857
Hieracium praecox subsp. medium (Jord.) Zahn, 1921;Hieracium medium Jord., 1849
Hieracium praecox subsp. montolearense (Jeanb. & Timb.-Lagr.) Zahn, 1921;Hieracium fragile Jord., 1849
Hieracium praecox subsp. pallidifrons Sudre, 1901;Hieracium pallidifrons Sudre, 1900
Hieracium praecox subsp. pallidulum (Jord. ex Boreau) Zahn, 1921;Hieracium pallidulum Jord. ex Boreau, 1857
Hieracium praecox subsp. sagittibifidum (Arv.-Touv. & Gaut.) Zahn, 1921;Hieracium jaubertianum Timb.-Lagr. & Loret, 1858
Hieracium praecox subsp. subpinicola Zahn, 1921;Hieracium petiolare Jord., 1849
Hieracium praecox subsp. verlotii (Jord. ex Nyman) Zahn, 1921;Hieracium medium Jord., 1849
Hieracium prenanthoides subsp. constrictum (Arv.-Touv.) Zahn, 1921;Hieracium constrictum Arv.-Touv., 1881
Hieracium prenanthoides subsp. cynanchoides (Arv.-Touv. & Gaut.) Zahn, 1916;Hieracium spicatum All., 1785
Hieracium prenanthoides subsp. praeruptorum (Godr.) Zahn, 1921;Hieracium lanceolatum Vill., 1788
Hieracium prenanthoides subsp. strictissimum (Froël.) Zahn, 1906;Hieracium lanceolatum Vill., 1788
Hieracium prenanthoides Vill. subsp. prenanthoides;Hieracium prenanthoides Vill., 1779
Hieracium printzii (Kaser ex Zahn) Zahn, 1921;Hieracium prinzii (Käser ex Zahn) Zahn, 1921
Hieracium prostratum DC., 1815;Hieracium eriophorum St.-Amans, 1801
Hieracium pseudogothicum Arv.-Touv., 1876;Hieracium firmum Jord., 1848
Hieracium pseudojuranum Arv.-Touv., 1897;Hieracium aligerum Arv.-Touv. ex Zahn, 1906
Hieracium pseudopilosella (Ten.) Nägeli & Peter, 1885;Pilosella pseudopilosella (Ten.) Soják, 1971
Hieracium pseudopilosella (Ten.) Nageli & Peter subsp. pseudopilosella;Pilosella pseudopilosella (Ten.) Soják, 1971
Hieracium pseudopilosellinum subsp. scandolajae Zahn, 1923;Pilosella visianii F.W.Schultz & Sch.Bip., 1862
Hieracium pseudopilosellinum Zahn subsp. pseudopilosellinum;Pilosella visianii F.W.Schultz & Sch.Bip., 1862
Hieracium pseudoprasinops Zahn, 1916;Hieracium pseudocirritum (Favre) Touton & Zahn, 1905
Hieracium pseudosciadum Boreau, 1857;Hieracium umbellatum L., 1753
Hieracium pullatum Arv.-Touv., 1886;Hieracium sonchoides Arv.-Touv., 1876
